date,2023-01-01
2018-01-07,100.0
2018-01-14,36.0
2018-01-21,33.0
2018-01-28,44.0
2018-02-04,0.0
2018-02-11,50.0
2018-02-18,25.0
2018-02-25,32.0
2018-03-04,21.0
2018-03-11,45.0
2018-03-18,30.0
2018-03-25,0.0
2018-04-01,52.0
2018-04-08,63.0
2018-04-15,16.0
2018-04-22,0.0
2018-04-29,0.0
2018-05-06,40.0
2018-05-13,40.0
2018-05-20,0.0
2018-05-27,45.0
2018-06-03,30.0
2018-06-10,0.0
2018-06-17,39.0
2018-06-24,0.0
2018-07-01,35.0
2018-07-08,34.0
2018-07-15,27.0
2018-07-22,17.0
2018-07-29,29.0
2018-08-05,48.0
2018-08-12,33.0
2018-08-19,23.0
2018-08-26,35.0
2018-09-02,21.0
2018-09-09,15.0
2018-09-16,0.0
2018-09-23,20.0
2018-09-30,36.0
2018-10-07,44.0
2018-10-14,14.0
2018-10-21,21.0
2018-10-28,14.0
2018-11-04,18.0
2018-11-11,32.0
2018-11-18,23.0
2018-11-25,27.0
2018-12-02,65.0
2018-12-09,40.0
2018-12-16,37.0
2018-12-23,44.0
2018-12-30,51.0
2019-01-06,81.0
2019-01-13,91.0
2019-01-20,85.0
2019-01-27,0.0
2019-02-03,72.0
2019-02-10,46.0
2019-02-17,59.0
2019-02-24,0.0
2019-03-03,44.0
2019-03-10,18.0
2019-03-17,20.0
2019-03-24,18.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,46.0
2019-04-28,0.0
2019-05-05,42.0
2019-05-12,27.0
2019-05-19,55.0
2019-05-26,75.0
2019-06-02,37.0
2019-06-09,39.0
2019-06-16,52.0
2019-06-23,45.0
2019-06-30,57.0
2019-07-07,49.0
2019-07-14,36.0
2019-07-21,46.0
2019-07-28,90.0
2019-08-04,71.0
2019-08-11,0.0
2019-08-18,30.0
2019-08-25,35.0
2019-09-01,30.0
2019-09-08,15.0
2019-09-15,46.0
2019-09-22,41.0
2019-09-29,0.0
2019-10-06,45.0
2019-10-13,0.0
2019-10-20,13.0
2019-10-27,36.0
2019-11-03,33.0
2019-11-10,70.0
2019-11-17,44.0
2019-11-24,65.0
2019-12-01,50.0
2019-12-08,34.0
2019-12-15,17.0
2019-12-22,0.0
2019-12-29,43.0
2020-01-05,42.268041237113394
2020-01-12,0.0
2020-01-19,18.556701030927833
2020-01-26,34.020618556701024
2020-02-02,0.0
2020-02-09,26.804123711340203
2020-02-16,31.958762886597935
2020-02-23,30.92783505154639
2020-03-01,76.28865979381442
2020-03-08,0.0
2020-03-15,58.762886597938135
2020-03-22,36.08247422680412
2020-03-29,93.81443298969072
2020-04-05,103.09278350515463
2020-04-12,103.09278350515463
2020-04-19,75.25773195876288
2020-04-26,62.88659793814432
2020-05-03,51.546391752577314
2020-05-10,35.051546391752574
