date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2019-01-20,,89.74358974358975,89.74358974358975,89.74358974358975,89.74358974358975
2019-01-27,,35.8974358974359,35.8974358974359,35.8974358974359,35.8974358974359
2019-02-03,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
2019-02-10,,88.46153846153847,88.46153846153847,88.46153846153847,88.46153846153847
2019-02-17,,0.0,0.0,0.0,0.0
2019-02-24,,39.743589743589745,39.743589743589745,39.743589743589745,39.743589743589745
2019-03-03,,0.0,0.0,0.0,0.0
2019-03-10,,43.58974358974359,43.58974358974359,43.58974358974359,43.58974358974359
2019-03-17,,0.0,0.0,0.0,0.0
2019-03-24,,0.0,0.0,0.0,0.0
2019-03-31,,0.0,0.0,0.0,0.0
2019-04-07,,60.25641025641026,60.25641025641026,60.25641025641026,60.25641025641026
2019-04-14,,0.0,0.0,0.0,0.0
2019-04-21,,44.871794871794876,44.871794871794876,44.871794871794876,44.871794871794876
2019-04-28,,30.769230769230774,30.769230769230774,30.769230769230774,30.769230769230774
2019-05-05,,0.0,0.0,0.0,0.0
2019-05-12,,0.0,0.0,0.0,0.0
2019-05-19,,34.61538461538462,34.61538461538462,34.61538461538462,34.61538461538462
2019-05-26,,0.0,0.0,0.0,0.0
2019-06-02,,0.0,0.0,0.0,0.0
2019-06-09,,0.0,0.0,0.0,0.0
2019-06-16,,0.0,0.0,0.0,0.0
2019-06-23,,34.61538461538462,34.61538461538462,34.61538461538462,34.61538461538462
2019-06-30,,128.2051282051282,128.2051282051282,128.2051282051282,128.2051282051282
2019-07-07,,34.61538461538462,34.61538461538462,34.61538461538462,34.61538461538462
2019-07-14,,0.0,0.0,0.0,0.0
2019-07-21,,58.97435897435898,58.97435897435898,58.97435897435898,58.97435897435898
2019-07-28,,0.0,0.0,0.0,0.0
2019-08-04,,23.07692307692308,23.07692307692308,23.07692307692308,23.07692307692308
2019-08-11,,0.0,0.0,0.0,0.0
2019-08-18,,43.58974358974359,43.58974358974359,43.58974358974359,43.58974358974359
2019-08-25,,0.0,0.0,0.0,0.0
2019-09-01,,0.0,0.0,0.0,0.0
2019-09-08,,0.0,0.0,0.0,0.0
2019-09-15,,32.05128205128205,32.05128205128205,32.05128205128205,32.05128205128205
2019-09-22,,32.05128205128205,32.05128205128205,32.05128205128205,32.05128205128205
2019-09-29,,75.64102564102565,75.64102564102565,75.64102564102565,75.64102564102565
2019-10-06,,0.0,0.0,0.0,0.0
2019-10-13,,0.0,0.0,0.0,0.0
2019-10-20,,32.05128205128205,32.05128205128205,32.05128205128205,32.05128205128205
2019-10-27,,58.97435897435898,58.97435897435898,58.97435897435898,58.97435897435898
2019-11-03,,0.0,0.0,0.0,0.0
2019-11-10,,51.282051282051285,51.282051282051285,51.282051282051285,51.282051282051285
2019-11-17,,38.46153846153847,38.46153846153847,38.46153846153847,38.46153846153847
2019-11-24,,0.0,0.0,0.0,0.0
2019-12-01,,39.743589743589745,39.743589743589745,39.743589743589745,39.743589743589745
2019-12-08,,64.1025641025641,64.1025641025641,64.1025641025641,64.1025641025641
2019-12-15,,37.17948717948718,37.17948717948718,37.17948717948718,37.17948717948718
2019-12-22,,0.0,0.0,0.0,0.0
2019-12-29,,0.0,0.0,0.0,0.0
2020-01-05,,,74.32181345224824,74.32181345224824,74.32181345224824
2020-01-12,,,0.0,0.0,0.0
2020-01-19,,,98.47640282422891,98.47640282422891,98.47640282422891
2020-01-26,,,66.88963210702342,66.88963210702342,66.88963210702342
2020-02-02,,,0.0,0.0,0.0
2020-02-09,,,37.16090672612412,37.16090672612412,37.16090672612412
2020-02-16,,,24.154589371980677,24.154589371980677,24.154589371980677
2020-02-23,,,0.0,0.0,0.0
2020-03-01,,,42.73504273504274,42.73504273504274,42.73504273504274
2020-03-08,,,70.60572277963583,70.60572277963583,70.60572277963583
2020-03-15,,,87.32813080639168,87.32813080639168,87.32813080639168
2020-03-22,,,154.2177629134151,154.2177629134151,154.2177629134151
2020-03-29,,,55.74136008918618,55.74136008918618,55.74136008918618
2020-04-05,,,185.8045336306206,185.8045336306206,185.8045336306206
2020-04-12,,,65.03158677071721,65.03158677071721,65.03158677071721
2020-04-19,,,87.32813080639168,87.32813080639168,87.32813080639168
2020-04-26,,,118.91490152359718,118.91490152359718,118.91490152359718
2020-05-03,,,29.728725380899295,29.728725380899295,29.728725380899295
2020-05-10,,,70.60572277963583,70.60572277963583,70.60572277963583
2020-05-17,,,0.0,0.0,0.0
2020-05-24,,,50.16722408026756,50.16722408026756,50.16722408026756
2020-05-31,,,0.0,0.0,0.0
2020-06-07,,,61.315496098104795,61.315496098104795,61.315496098104795
2020-06-14,,,48.309178743961354,48.309178743961354,48.309178743961354
2020-06-21,,,70.60572277963583,70.60572277963583,70.60572277963583
2020-06-28,,,42.73504273504274,42.73504273504274,42.73504273504274
2020-07-05,,,35.30286138981791,35.30286138981791,35.30286138981791
2020-07-12,,,0.0,0.0,0.0
2020-07-19,,,46.45113340765515,46.45113340765515,46.45113340765515
2020-07-26,,,87.32813080639168,87.32813080639168,87.32813080639168
2020-08-02,,,40.87699739873653,40.87699739873653,40.87699739873653
2020-08-09,,,85.47008547008548,85.47008547008548,85.47008547008548
2020-08-16,,,29.728725380899295,29.728725380899295,29.728725380899295
2020-08-23,,,40.87699739873653,40.87699739873653,40.87699739873653
2020-08-30,,,61.315496098104795,61.315496098104795,61.315496098104795
2020-09-06,,,0.0,0.0,0.0
2020-09-13,,,48.309178743961354,48.309178743961354,48.309178743961354
2020-09-20,,,39.01895206243032,39.01895206243032,39.01895206243032
2020-09-27,,,55.74136008918618,55.74136008918618,55.74136008918618
2020-10-04,,,0.0,0.0,0.0
2020-10-11,,,72.46376811594203,72.46376811594203,72.46376811594203
2020-10-18,,,57.599405425492385,57.599405425492385,57.599405425492385
2020-10-25,,,46.45113340765515,46.45113340765515,46.45113340765515
2020-11-01,,,53.883314752879976,53.883314752879976,53.883314752879976
2020-11-08,,,92.9022668153103,92.9022668153103,92.9022668153103
2020-11-15,,,96.61835748792271,96.61835748792271,96.61835748792271
2020-11-22,,,57.599405425492385,57.599405425492385,57.599405425492385
2020-11-29,,,33.44481605351171,33.44481605351171,33.44481605351171
2020-12-06,,,37.16090672612412,37.16090672612412,37.16090672612412
2020-12-13,,,0.0,0.0,0.0
2020-12-20,,,29.728725380899295,29.728725380899295,29.728725380899295
2020-12-27,,,31.5867707172055,31.5867707172055,31.5867707172055
2021-01-03,,,,0.0,0.0
2021-01-10,,,,0.0,0.0
2021-01-17,,,,25.0,25.0
2021-01-24,,,,17.0,17.0
2021-01-31,,,,36.0,36.0
2021-02-07,,,,15.0,15.0
2021-02-14,,,,73.0,73.0
2021-02-21,,,,11.0,11.0
2021-02-28,,,,34.0,34.0
2021-03-07,,,,35.0,35.0
2021-03-14,,,,19.0,19.0
2021-03-21,,,,0.0,0.0
2021-03-28,,,,17.0,17.0
2021-04-04,,,,0.0,0.0
2021-04-11,,,,0.0,0.0
2021-04-18,,,,29.0,29.0
2021-04-25,,,,30.0,30.0
2021-05-02,,,,31.0,31.0
2021-05-09,,,,30.0,30.0
2021-05-16,,,,0.0,0.0
2021-05-23,,,,0.0,0.0
2021-05-30,,,,0.0,0.0
2021-06-06,,,,0.0,0.0
2021-06-13,,,,0.0,0.0
2021-06-20,,,,0.0,0.0
2021-06-27,,,,15.0,15.0
2021-07-04,,,,24.0,24.0
2021-07-11,,,,32.0,32.0
2021-07-18,,,,23.0,23.0
2021-07-25,,,,0.0,0.0
2021-08-01,,,,35.0,35.0
2021-08-08,,,,19.0,19.0
2021-08-15,,,,62.0,62.0
2021-08-22,,,,11.0,11.0
2021-08-29,,,,0.0,0.0
2021-09-05,,,,14.0,14.0
2021-09-12,,,,0.0,0.0
2021-09-19,,,,0.0,0.0
2021-09-26,,,,14.0,14.0
2021-10-03,,,,12.0,12.0
2021-10-10,,,,11.0,11.0
2021-10-17,,,,10.0,10.0
2021-10-24,,,,17.0,17.0
2021-10-31,,,,26.0,26.0
2021-11-07,,,,0.0,0.0
2021-11-14,,,,50.0,50.0
2021-11-21,,,,0.0,0.0
2021-11-28,,,,0.0,0.0
2021-12-05,,,,19.0,19.0
2021-12-12,,,,20.0,20.0
2021-12-19,,,,20.0,20.0
2021-12-26,,,,37.0,37.0
2022-01-02,,,,,0.0
2022-01-09,,,,,0.0
2022-01-16,,,,,0.0
2022-01-23,,,,,0.0
2022-01-30,,,,,28.0
2022-02-06,,,,,23.0
2022-02-13,,,,,25.0
2022-02-20,,,,,22.0
2022-02-27,,,,,0.0
2022-03-06,,,,,20.0
2022-03-13,,,,,21.0
2022-03-20,,,,,0.0
2022-03-27,,,,,0.0
2022-04-03,,,,,38.0
2022-04-10,,,,,22.0
2022-04-17,,,,,26.0
2022-04-24,,,,,12.0
2022-05-01,,,,,9.0
2022-05-08,,,,,32.0
2022-05-15,,,,,14.0
2022-05-22,,,,,0.0
2022-05-29,,,,,17.0
2022-06-05,,,,,47.0
2022-06-12,,,,,48.0
2022-06-19,,,,,14.0
2022-06-26,,,,,23.0
2022-07-03,,,,,33.0
2022-07-10,,,,,36.0
2022-07-17,,,,,37.0
2022-07-24,,,,,43.0
2022-07-31,,,,,38.0
2022-08-07,,,,,24.0
2022-08-14,,,,,14.0
2022-08-21,,,,,21.0
2022-08-28,,,,,27.0
2022-09-04,,,,,14.0
2022-09-11,,,,,34.0
2022-09-18,,,,,61.0
2022-09-25,,,,,41.0
2022-10-02,,,,,35.0
2022-10-09,,,,,9.0
2022-10-16,,,,,9.0
2022-10-23,,,,,23.0
2022-10-30,,,,,19.0
2022-11-06,,,,,34.0
2022-11-13,,,,,66.0
2022-11-20,,,,,15.0
2022-11-27,,,,,19.0
2022-12-04,,,,,22.0
2022-12-11,,,,,19.0
2022-12-18,,,,,16.0
2022-12-25,,,,,23.0
2023-01-01,,,,,9.0
