date,2024-02-16
2020-02-02,41
2020-02-09,0
2020-02-16,35
2020-02-23,0
2020-03-01,0
2020-03-08,43
2020-03-15,0
2020-03-22,0
2020-03-29,23
2020-04-05,23
2020-04-12,0
2020-04-19,0
2020-04-26,22
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,26
2020-07-26,24
2020-08-02,0
2020-08-09,19
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,37
2020-09-27,0
2020-10-04,49
2020-10-11,73
2020-10-18,44
2020-10-25,0
2020-11-01,0
2020-11-08,35
2020-11-15,23
2020-11-22,35
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,23
2021-01-03,0
2021-01-10,0
2021-01-17,71
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,19
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,26
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,19
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,32
2021-08-22,18
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,23
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,47
2021-10-31,0
2021-11-07,24
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,43
2021-12-12,38
2021-12-19,100
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,20
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,19
2022-03-13,0
2022-03-20,17
2022-03-27,25
2022-04-03,0
2022-04-10,15
2022-04-17,41
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,17
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,21
2022-07-24,0
2022-07-31,26
2022-08-07,22
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,28
2022-09-25,26
2022-10-02,0
2022-10-09,0
2022-10-16,52
2022-10-23,17
2022-10-30,0
2022-11-06,0
2022-11-13,34
2022-11-20,24
2022-11-27,31
2022-12-04,0
2022-12-11,29
2022-12-18,37
2022-12-25,25
2023-01-01,0
2023-01-08,32
2023-01-15,16
2023-01-22,0
2023-01-29,27
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,25
2023-03-19,41
2023-03-26,0
2023-04-02,15
2023-04-09,27
2023-04-16,0
2023-04-23,0
2023-04-30,21
2023-05-07,27
2023-05-14,34
2023-05-21,20
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,21
2023-07-02,0
2023-07-09,0
2023-07-16,19
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,19
2023-09-17,46
2023-09-24,0
2023-10-01,0
2023-10-08,17
2023-10-15,0
2023-10-22,34
2023-10-29,17
2023-11-05,39
2023-11-12,28
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,23
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,15
2024-02-04,0
